,Country/Region,Date,Province/State,Confirmed,Deaths,Recovered,GDP,Unemployment,CPI
0,Afghanistan,2021-01-01,0,52513.0,2201.0,41727.0,14266499429.8746,11.934,
1,Afghanistan,2022-01-01,0,158107.0,7356.0,0.0,14502158192.0904,14.1,
2,Albania,2021-01-01,0,58316.0,1181.0,33634.0,17930565118.8176,12.473,123.448662047404
3,Albania,2022-01-01,0,210224.0,3217.0,0.0,18916378860.5488,11.588,131.750834819418
4,Algeria,2021-01-01,0,99897.0,2762.0,67395.0,186265418570.697,13.607,166.218894516626
5,Algeria,2022-01-01,0,218818.0,6284.0,0.0,225560256621.757,12.437,181.619931977783
6,Andorra,2021-01-01,0,8117.0,84.0,7463.0,3324683011.5903,12.437,181.619931977783
7,Andorra,2022-01-01,0,23740.0,140.0,0.0,3380602042.84283,12.437,181.619931977783
8,Angola,2021-01-01,0,17568.0,405.0,11146.0,66505129987.7235,15.799,583.675779438661
9,Angola,2022-01-01,0,82398.0,1772.0,0.0,104399746853.401,14.693,708.32143556848
10,Antigua and Barbuda,2021-01-01,0,159.0,5.0,148.0,1601366666.66667,14.693,118.555594720979
11,Antigua and Barbuda,2022-01-01,0,4283.0,119.0,0.0,1867733333.33333,14.693,127.484109443389
12,Argentina,2021-01-01,0,1629594.0,43319.0,1426676.0,487902572164.348,8.736,127.484109443389
13,Argentina,2022-01-01,0,5674428.0,117181.0,0.0,631133384439.944,6.805,127.484109443389
14,Armenia,2021-01-01,0,159738.0,2828.0,143355.0,13878908628.9378,10.012,140.134410734876
15,Armenia,2022-01-01,0,344980.0,7975.0,0.0,19513474648.2429,8.608,152.243300572606
16,Australia,2021-01-01,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,28460.0,909.0,22573.0,1559033756285.13,5.116,124.271592091571
17,Australia,2022-01-01,Australian Capital TerritoryNew South WalesNorthern TerritoryQueenslandSouth AustraliaTasmaniaVictoriaWestern Australia,462955.0,2257.0,0.0,1692956646855.7,3.701,132.466181061394
18,Austria,2021-01-01,0,358774.0,7564.0,334901.0,479295362747.047,6.459,123.00084356117
19,Austria,2022-01-01,0,1274628.0,16845.0,0.0,470941926750.741,4.992,133.513565675464
20,Azerbaijan,2021-01-01,0,219041.0,2670.0,188280.0,54825411764.7059,6.04,171.943182758333
21,Azerbaijan,2022-01-01,0,617311.0,8365.0,0.0,78807470588.2353,5.65,195.761197791667
22,Bahrain,2021-01-01,0,92913.0,352.0,90369.0,39288670212.766,1.551,115.315875502436
23,Bahrain,2022-01-01,0,282677.0,1394.0,0.0,44383297872.3404,1.326,119.496930529675
24,Bangladesh,2021-01-01,0,514500.0,7576.0,458656.0,416271647002.435,5.815,200.437039174984
25,Bangladesh,2022-01-01,0,1585909.0,28076.0,0.0,460131688909.301,5.247,215.864586624407
26,Barbados,2021-01-01,0,395.0,7.0,319.0,4945276000.0,9.417,215.864586624407
27,Barbados,2022-01-01,0,28810.0,262.0,0.0,5840673700.0,8.493,155.64882826163
28,Belarus,2021-01-01,0,196223.0,1433.0,178102.0,69673747131.87,3.9,587.301149813956
29,Belarus,2022-01-01,0,700421.0,5594.0,0.0,73775179924.603,3.574,676.627747581603
30,Belgium,2021-01-01,0,648289.0,19581.0,0.0,600904461226.347,6.264,120.856958300438
31,Belgium,2022-01-01,0,2105343.0,28331.0,0.0,583613982019.263,5.558,132.456219048303
32,Belize,2021-01-01,0,10776.0,248.0,9795.0,2424575179.3783,10.157,109.728123082433
33,Belize,2022-01-01,0,32840.0,602.0,0.0,2830507575.6841,8.724,116.61564017262
34,Benin,2021-01-01,0,3251.0,44.0,3061.0,17687623530.3355,1.694,116.04419147224
35,Benin,2022-01-01,0,24935.0,161.0,0.0,17425418044.2906,1.473,117.611691618775
36,Bhutan,2021-01-01,0,689.0,0.0,449.0,2768802803.18141,4.804,192.704073301911
37,Bhutan,2022-01-01,0,2660.0,3.0,0.0,2898227713.22315,5.947,203.570977260005
38,Bolivia,2021-01-01,0,160985.0,9175.0,132510.0,40406111693.1983,5.089,150.816761737338
39,Bolivia,2022-01-01,0,599753.0,19680.0,0.0,44008282879.8842,3.552,153.450518176398
40,Bosnia and Herzegovina,2021-01-01,0,112143.0,4086.0,77682.0,23672712242.2149,14.897,153.450518176398
41,Bosnia and Herzegovina,2022-01-01,0,291313.0,13442.0,0.0,24534663636.1778,12.657,153.450518176398
42,Botswana,2021-01-01,0,14805.0,42.0,12136.0,18750946600.1423,23.106,163.633196988276
43,Botswana,2022-01-01,0,219509.0,2444.0,0.0,20321958850.0363,23.615,182.721938000665
44,Brazil,2021-01-01,0,7703971.0,195541.0,6855372.0,1670647399034.67,13.159,187.117425058296
45,Brazil,2022-01-01,0,22295621.0,619367.0,0.0,1951923942083.32,9.231,204.482120615775
46,Bulgaria,2021-01-01,0,202540.0,7604.0,120343.0,84041493015.6618,5.267,120.168304321485
47,Bulgaria,2022-01-01,0,748184.0,30983.0,0.0,90346169914.9349,4.268,138.584408106261
48,Burkina Faso,2021-01-01,0,6828.0,85.0,5152.0,19643166853.6641,5.11,114.434519867232
49,Burkina Faso,2022-01-01,0,17632.0,318.0,0.0,18820219331.2261,5.348,130.787482169834
50,Burundi,2021-01-01,0,822.0,2.0,687.0,2775798697.46022,1.11,211.871226580912
51,Burundi,2022-01-01,0,27366.0,38.0,0.0,3338722827.65691,0.919,251.704878819603
52,Cabo Verde,2021-01-01,0,11872.0,113.0,11569.0,2051842609.64558,13.906,113.241195084123
53,Cabo Verde,2022-01-01,0,42463.0,352.0,0.0,2303738020.15148,12.272,122.222274152969
54,Cambodia,2021-01-01,0,379.0,0.0,362.0,26961061151.7337,0.396,137.850836238126
55,Cambodia,2022-01-01,0,120507.0,3012.0,0.0,29504829319.3169,0.247,145.217175025789
56,Cameroon,2021-01-01,0,26848.0,448.0,24892.0,44993521774.066,3.951,124.302010149149
57,Cameroon,2022-01-01,0,109367.0,1851.0,0.0,43644068310.851,3.687,132.067998413642
58,Canada,2021-01-01,AlbertaBritish ColumbiaDiamond PrincessGrand PrincessManitobaNew BrunswickNewfoundland and LabradorNorthwest TerritoriesNova ScotiaNunavutOntarioPrince Edward IslandQuebecRepatriated TravellersSaskatchewanYukon,596582.0,15819.0,494437.0,2007472181464.15,7.527,121.587006296508
59,Canada,2022-01-01,AlbertaBritish ColumbiaDiamond PrincessGrand PrincessManitobaNew BrunswickNewfoundland and LabradorNorthwest TerritoriesNova ScotiaNunavutOntarioPrince Edward IslandQuebecRepatriated TravellersSaskatchewanYukon,2256747.0,30340.0,0.0,2161483369422.01,5.28,129.858328563251
60,Central African Republic,2021-01-01,0,4963.0,63.0,1924.0,2516498412.46384,6.676,160.95649049113
61,Central African Republic,2022-01-01,0,12163.0,101.0,0.0,2382618615.01694,6.337,169.942960718886
62,Chad,2021-01-01,0,2141.0,104.0,1704.0,11779981332.16,1.511,122.00219164626
63,Chad,2022-01-01,0,6183.0,184.0,0.0,12396807590.173,1.104,129.063711291026
64,Chile,2021-01-01,0,612564.0,16660.0,579203.0,315515014838.539,9.325,142.081272844549
65,Chile,2022-01-01,0,1808398.0,39140.0,0.0,302116539409.03,8.299,158.625026875941
